i,j,k,probability
0,6,41,0.7398263487725156
0,6,42,0.7474039003423281
0,6,43,0.7549191185611714
0,6,44,0.762286654515579
0,6,45,0.769466983429439
0,6,46,0.7765067922362596
0,6,47,0.78335317313857
0,6,48,0.7900249304761742
0,6,49,0.7965972985513212
0,6,50,0.803090041422192
0,6,51,0.8096217400477939
0,6,52,0.8162621430501482
0,6,53,0.823061300175649
0,6,54,0.8298493559120738
0,6,55,0.8367028775781076
0,6,56,0.8433272116292991
0,6,57,0.8497149435263518
0,6,58,0.8559119070899324
0,6,59,0.8619893857151247
0,6,60,0.8679761413028937
0,6,61,0.8740458434678285
0,6,62,0.8799482425877302
0,6,63,0.885425167650616
0,6,64,0.8905933218465985
0,6,65,0.8954759915066737
0,6,66,0.9001131048424426
0,6,67,0.9046395459465608
0,6,68,0.9089221282068902
0,6,69,0.9129696583824947
0,6,70,0.9170158110811597
0,6,71,0.9210878654446863
0,6,72,0.9252813604575756
0,6,73,0.9297038163791456
0,6,74,0.9345341515077741
0,6,75,0.9392741926923424
0,6,76,0.9433294371695032
0,6,77,0.9461127344864545
0,6,78,0.9500138621491163
0,6,79,0.954321169365382
0,6,80,0.9583777136113787
0,6,81,0.9621338769040068
0,6,82,0.9656626805560304
0,6,83,0.9689836525142893
0,6,84,0.9707583431048884
0,6,85,0.97201513158411
0,6,86,0.9732263167515863
0,6,87,0.9743103787802498
0,6,88,0.975434044647715
0,6,89,0.976533307519045
0,6,90,0.9775734795898586
0,6,91,0.9785246235172929
0,6,92,0.9794345753904051
0,6,93,0.9800651632445585
0,6,94,0.9812371066919612
0,6,95,0.9821527850978736
0,6,96,0.9828836907834239
0,6,97,0.9834641485927594
0,6,98,0.9840065281171828
0,6,99,0.9840065281171828
0,7,0,0.47940050483040286
0,7,1,0.48225319104143366
0,7,2,0.48523774254041446
0,7,3,0.48835879997501785
0,7,4,0.4916232833188664
0,7,5,0.49503901305251863
0,7,6,0.4986136408047256
0,7,7,0.5023538598140452
0,7,8,0.5062661089761886
0,7,9,0.510349627934138
0,7,10,0.5146259131234205
0,7,11,0.5191080192149891
0,7,12,0.5238016263359784
0,7,13,0.5287074230417075
0,7,14,0.5338231229137255
0,7,15,0.5391270268810037
0,7,16,0.5447657303599414
0,7,17,0.5506942628971406
0,7,18,0.556869065779171
0,7,19,0.5632579031599931
0,7,20,0.5698212261066208
0,7,21,0.576589154190867
0,7,22,0.5845264837789468
0,7,23,0.5924402610280319
0,7,24,0.6003067204627679
0,7,25,0.6081542503871421
0,7,26,0.6159690917931997
0,7,27,0.6237800536101075
0,7,28,0.6315706010584692
0,7,29,0.6393533098380302
0,7,30,0.647164463766351
0,7,31,0.6550520011559566
0,7,32,0.6630147006610921
0,7,33,0.670995118031011
0,7,34,0.6789733081875072
0,7,35,0.6868773306506346
0,7,36,0.6947452867676029
0,7,37,0.702598091196581
0,7,38,0.7104002255070045
0,7,39,0.7181980357685689
0,7,40,0.7259577778345523
0,7,41,0.733676342065945
0,7,42,0.7413352820760625
0,7,43,0.7488982331604662
0,7,44,0.7563218167918393
0,7,45,0.7635486511618998
0,7,46,0.7706562972926969
0,7,47,0.7775782936918553
0,7,48,0.7843319338875854
0,7,49,0.7910383376800564
0,7,50,0.7976903619284528
0,7,51,0.8044238069475804
0,7,52,0.8112494055128224
0,7,53,0.8182448824718542
0,7,54,0.825236907714653
0,7,55,0.8321358929234735
0,7,56,0.8387652459722771
0,7,57,0.8452758193557588
0,7,58,0.8515785722282915
0,7,59,0.8577878712790916
0,7,60,0.8639094516492808
0,7,61,0.8701247867566362
0,7,62,0.8761094088362307
0,7,63,0.8816356727231723
0,7,64,0.8868999932326541
0,7,65,0.8918914512617296
0,7,66,0.8966430110978364
0,7,67,0.9012950021359497
0,7,68,0.9056984428399548
0,7,69,0.9098640593262711
0,7,70,0.9140425535919218
0,7,71,0.9182938735372769
0,7,72,0.922679988092153
0,7,73,0.9272956383403731
0,7,74,0.9323503710333567
0,7,75,0.9372016221266604
0,7,76,0.9410503141459274
0,7,77,0.9439318963350245
0,7,78,0.9481416384302858
0,7,79,0.9525884752839237
0,7,80,0.9567793590717286
0,7,81,0.9606625706092009
0,7,82,0.9643131714370925
0,7,83,0.9677510322427288
0,7,84,0.9694328672481642
0,7,85,0.9707449070553804
0,7,86,0.9720094844529785
0,7,87,0.9731414561140422
0,7,88,0.9743149028688786
0,7,89,0.9754629847078615
0,7,90,0.9765494600467257
0,7,91,0.9775430365633488
0,7,92,0.9784936659964072
0,7,93,0.9791524904152734
0,7,94,0.9803770144417301
0,7,95,0.9813338691170853
0,7,96,0.9820977009598324
0,7,97,0.9827043446510741
0,7,98,0.9832712219900762
0,7,99,0.9832712219900762
0,8,0,0.47193634278643914
0,8,1,0.4747879280113152
0,8,2,0.47777139825715453
0,8,3,0.48089130991953366
0,8,4,0.48415454180514106
0,8,5,0.48756892123189033
0,8,6,0.4911421762692546
0,8,7,0.4948809096123108
0,8,8,0.498792131399841
0,8,9,0.5028740117850812
0,8,10,0.507148312551762
0,8,11,0.5116284528366216
0,8,12,0.5163204398432758
0,8,13,0.521224531465945
0,8,14,0.5263413425123401
0,8,15,0.5316395948716626
0,8,16,0.537274257446777
0,8,17,0.5432012815628742
0,8,18,0.5493764535130939
0,8,19,0.5557658922560434
0,8,20,0.5623404611260762
0,8,21,0.5690637716491409
0,8,22,0.5770092570331955
0,8,23,0.5849385982189348
0,8,24,0.5928169239467004
0,8,25,0.6006770935624626
0,8,26,0.6085111847355545
0,8,27,0.6163594160957586
0,8,28,0.6242084171100052
0,8,29,0.6320725327285296
0,8,30,0.6399902230091038
0,8,31,0.6480347213219335
